ID,duration,wav,wav_format,wav_opts
noise-free-sound-0187_0,6.4230625,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0187.wav,wav,
noise-free-sound-0055_1,40.09775,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0055.wav,wav,
noise-free-sound-0311_2,13.746375,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0311.wav,wav,
noise-free-sound-0199_3,6.25625,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0199.wav,wav,
noise-free-sound-0141_4,135.0720625,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0141.wav,wav,
noise-free-sound-0125_5,1.125,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0125.wav,wav,
noise-free-sound-0258_6,25.7580625,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0258.wav,wav,
noise-free-sound-0023_7,11.24,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0023.wav,wav,
noise-free-sound-0841_8,90.0,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0841.wav,wav,
noise-free-sound-0758_9,12.644375,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0758.wav,wav,
noise-free-sound-0739_10,19.224,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0739.wav,wav,
noise-free-sound-0318_11,0.40925,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0318.wav,wav,
noise-free-sound-0719_12,7.0008125,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0719.wav,wav,
noise-free-sound-0501_13,12.0079375,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0501.wav,wav,
noise-free-sound-0663_14,29.3544375,/home/rlg/projects/sig/VoxCeleb/voxceleb2/noise/pointsource_noises/noise-free-sound-0663.wav,wav,
